team,vegas_wins
Arizona Diamondbacks,79.5
Athletics,75.5
Atlanta Braves,88.5
Baltimore Orioles,85.5
Boston Red Sox,87.5
Chicago Cubs,88.5
Chicago White Sox,66.5
Cincinnati Reds,81.5
Cleveland Guardians,78.5
Colorado Rockies,54.5
Detroit Tigers,85.5
Houston Astros,86.5
Kansas City Royals,82.5
Los Angeles Angels,70.5
Los Angeles Dodgers,103.5
Miami Marlins,72.5
Milwaukee Brewers,84.5
Minnesota Twins,72.5
New York Mets,90.5
New York Yankees,90.5
Philadelphia Phillies,89.5
Pittsburgh Pirates,78.5
San Diego Padres,85.5
Seattle Mariners,89.5
San Francisco Giants,80.5
St. Louis Cardinals,69.5
Tampa Bay Rays,76.5
Texas Rangers,83.5
Toronto Blue Jays,88.5
Washington Nationals,65.5
